tweet,is_retweet,retweeted,mentioned,hashtags,clean_tweet
RT @VictorAvilaTX: It’s crazy how the Biden Administration suddenly understands borders when they’re Ukraine’s.,True,['@VictorAvilaTX'],[],[], crazi biden administr suddenli understand border ukrain 
"RT @RichardEngel: A Western intelligence official tells me Russia has 60 Battalion Tactical Groups around Ukraine, abt 112-120K troops, and…",True,['@RichardEngel'],[],[], western intellig offici tell russia  battalion tactic group around ukrain abt  k troop 
"RT @GeromanAT: Western expert waiting for the ""Imminent Russian Invasion of Ukraine"" https://t.co/aedm9s9dgW",True,['@GeromanAT'],[],[], western expert wait immin russian invas ukrain 
Does Putin realize how simple it now is for Ukraine to destroy tanks? It doesn't look like he does. He needs to get… https://t.co/YmnNGQBwMS,False,[],[],[],putin realiz simpl ukrain destroy tank look like need get 
"RT @Ladyinyellow__: How did my healthy brother die in Ukraine overnight?

A thread.

That's my brother, Fadlullah Agboluaje in this picture…",True,['@Ladyinyellow__'],[],[], healthi brother die ukrain overnight thread brother fadlullah agboluaj pictur 
"Or didn't age at all
Russia has always been bordering Ukraine but now it's more mainstream",False,[],[],[],age russia alway border ukrain mainstream
@Pontifex If @Ukraine would like to enlist the support of https://t.co/eM79qzhmnW he can be utilized to support you… https://t.co/z4PNS6oxs6,False,[],"['@Pontifex', '@Ukraine']",[], would like enlist support util support 
"RT @wiczipedia: Okay now everyone read this. 

https://t.co/5I1igd8MFW",True,['@wiczipedia'],[],[], okay everyon read 
"RT @AJEnglish: US rules out Russian demand to halt NATO’s eastward expansion, but says it is open to talks on arms control ⤵️ https://t.co/…",True,['@AJEnglish'],[],[], us rule russian demand halt nato eastward expans say open talk arm control ⤵️ 
"https://t.co/ySF07rvawn

I can only imagine. A former world champion boxer, lived in Germany prior, could probably… https://t.co/VcExIvLHIP",False,[],[],[], imagin former world champion boxer live germani prior could probabl 
"RT @MaximeBernier: BREAKING - Trudeau takes hardline approach against Russia, warns Putin not to invade Ukraine unless soldiers can show va…",True,['@MaximeBernier'],[],[], break trudeau take hardlin approach russia warn putin invad ukrain unless soldier show va 
"“The #USA Embassy in #Kyiv, #Ukraine urged #American citizens in #Ukraine to consider departing now, saying that th… https://t.co/w1ai0gOYUO",False,[],[],"['#USA', '#Kyiv', '#Ukraine', '#American', '#Ukraine']", usa embassi kyiv ukrain urg american citizen ukrain consid depart say th 
"RT @RepThomasMassie: There is no treaty with Ukraine that obligates the US to attack Russia.

Congress declares war, not the President.

Th…",True,['@RepThomasMassie'],[],[], treati ukrain oblig us attack russia congress declar war presid th 
"Russians don’t want Ukraine in NATO.  Well, there not in NATO!  So, why are they preparing in attack Ukraine?",False,[],[],[],russian want ukrain nato well nato prepar attack ukrain 
RT @ianbremmer: Ukraine vs Russia military by the numbers: https://t.co/fsZF4Tkdib,True,['@ianbremmer'],[],[], ukrain vs russia militari number 
@magicofthemind @dwnews Are you unaware of the Russian-backed rebels downing an airplane over Ukraine? You think fi… https://t.co/OaOjcZDEgz,False,[],"['@magicofthemind', '@dwnews']",[], unawar russian back rebel down airplan ukrain think fi 
"RT @sir_frankuk: Anyway, enough of about the potential war between Ukraine and Russia. Does anyone know what flavour cake Boris had? If it…",True,['@sir_frankuk'],[],[], anyway enough potenti war ukrain russia anyon know flavour cake bori 
"RT @JanLipavsky: 🇨🇿 Czechia joins @NATO allies and will deliver over 4,000 152 mm High-Explosive Range shells to Ukraine. We aim to bolster…",True,['@JanLipavsky'],['@NATO'],[], 🇨🇿 czechia join alli deliv    mm high explos rang shell ukrain aim bolster 
"Russia, Ukraine agree to keep ceasefire, new talks next month | Malay Mail https://t.co/FUnD9oVcyA",False,[],[],[],russia ukrain agre keep ceasefir new talk next month malay mail 
"RT @JosepBorrellF: I welcome @secblinken’s written response to Russia’s security proposals. 

The diplomatic path offers the only lasting s…",True,['@JosepBorrellF'],['@secblinken'],[], welcom written respons russia secur propos diplomat path offer last 
Ukraine crisis: What to know as tensions rise https://t.co/EP8pbNeTVG https://t.co/tkFODrHR1v,False,[],[],[],ukrain crisi know tension rise 
"RT @Ladyinyellow__: How did my healthy brother die in Ukraine overnight?

A thread.

That's my brother, Fadlullah Agboluaje in this picture…",True,['@Ladyinyellow__'],[],[], healthi brother die ukrain overnight thread brother fadlullah agboluaj pictur 
RT @RWPUSA: Constitutional law 101: Is withholding military aid for Ukraine in order to coerce a criminal investigation of a political oppo…,True,['@RWPUSA'],[],[], constitut law  withhold militari aid ukrain order coerc crimin investig polit oppo 
RT @HeathMayo: Russia has zero right to Ukraine. Those here in the US who are giving excuses for Putin’s aggression insult everything Ameri…,True,['@HeathMayo'],[],[], russia zero right ukrain us give excus putin aggress insult everyth ameri 
"RT @audrialemnisca: @BBCWorld Russia: ""We annexed Crimea and currently our forces surround Ukraine on three sides, but it's Ukraine's fault…",True,['@audrialemnisca'],['@BBCWorld'],[], russia annex crimea current forc surround ukrain three side ukrain fault 
"RT @JohnCleese: So Fox News is on Russia's side in the conflict with Ukraine

Not surprising really ; Rupert Murdoch isn't a big fan 
of de…",True,['@JohnCleese'],[],[], fox news russia side conflict ukrain surpris realli rupert murdoch big fan de 
"@IAPonomarenko The Russian Federation nuclear power, the UK and the US reaffirm their obligation to refrain from th… https://t.co/CrwRwRJJLW",False,[],['@IAPonomarenko'],[], russian feder nuclear power uk us reaffirm oblig refrain th 
"@dystopia_disc I’ll be shocked if America doesn’t jump in to set up something for themselves, that’s the vibe I get… https://t.co/8LqDqI6Cvl",False,[],['@dystopia_disc'],[], shock america jump set someth vibe get 
RT @BestForBritain: That’s strange. The PM told Parliament he is the one leading Europe on Ukraine negotiations. He’s not even in the room.…,True,['@BestForBritain'],[],[], strang pm told parliament one lead europ ukrain negoti even room 
@ZoryaLondonsk @VadymSkichko @ukrfut24 @SweeperPod @Biz_Ukraine_Mag @ShootTheDefence @LaczyNasPilka @RealSporting… https://t.co/6tn9wE3O3I,False,[],"['@ZoryaLondonsk', '@VadymSkichko', '@ukrfut24', '@SweeperPod', '@Biz_Ukraine_Mag', '@ShootTheDefence', '@LaczyNasPilka', '@RealSporting']",[], 
RT @JRubinBlogger: Opinion | Russia’s looming invasion of Ukraine shows why Trump’s first impeachment was necessary and proper &lt;-- this htt…,True,['@JRubinBlogger'],[],[], opinion russia loom invas ukrain show trump first impeach necessari proper lt htt 
RT @CNNSitRoom: “It was reflective of the concerns of the transatlantic community.” - State Department spokesman Ned Price joins Wolf Blitz…,True,['@CNNSitRoom'],[],[], reflect concern transatlant commun state depart spokesman ned price join wolf blitz 
"@caslernoel @pantsonfire__ Trump to seek $250M in new lethal aid to Ukraine
By Joe Gould
 Dec 4, 2019

Obama gave them blankets.",False,[],"['@caslernoel', '@pantsonfire__']",[], trump seek new lethal aid ukrain joe gould dec   obama gave blanket 
